	author_title	isbn10	isbn13
177	 Barbara Taylor Bradford.**WHERE YOU BELONG		9780002256957
178	 Barry Lopez. Illustrated  Tom Pohrt.**CROW AND WEASEL		
179	 Bebe Moore Campbell.**BROTHERS AND SISTERS		9780765106308
180	 Bebe Moore Campbell.**WHAT YOU OWE ME		9780425186312
181	 Belva Plain.**BLESSINGS		9780440206521
182	 Belva Plain.**CRESCENT CITY		9780440115496
183	 Belva Plain.**DAYBREAK		9780708988688
184	 Belva Plain.**EDEN BURNING		9780385282635
185	 Belva Plain.**EVERGREEN		9780440132783
186	 Belva Plain.**HER FATHER'S HOUSE		9780375431685
187	 Belva Plain.**RANDOM WINDS		9780440171584
188	 Belva Plain.**SECRECY		9780385316866
189	 Belva Plain.**TAPESTRY		9781306988421
190	 Belva Plain.**THE GOLDEN CUP		9780440130918
191	 Belva Plain.**TREASURES		9780804152563
192	 Bernard Cornwell.**LORDS OF THE NORTH		9780061801891
193	 Bernard Cornwell.**SHARPE'S HAVOC		9788501102300
194	 Bernard Cornwell.**SWORD SONG		9780061566684
195	 Bernard Malamud.**DUBIN'S LIVES		9780374144142
196	 Bette Bao Lord.**SPRING MOON		9780816133857
197	 Bette Midler.**THE SAGA OF BABY DIVINE		
198	 Brad Meltzer.**THE BOOK OF FATE		9780446505895
199	 Brad Meltzer.**THE FIRST COUNSEL		9780446527286
200	 Brad Meltzer.**THE MILLIONAIRES		9781455519699
201	 Brad Meltzer.**THE TENTH JUSTICE		9780340658147
202	 Brad Meltzer.**THE ZERO GAME		9780759508552
203	 Brad Thor.**THE FIRST COMMANDMENT		9780743567220
204	 Bret Easton Ellis.**LESS THAN ZERO		9780140088946
205	 Brian Herbert and Kevin J. Anderson.**DUNE: House Atreides		9780340751756
206	 Brian Herbert and Kevin J. Anderson.**DUNE: House Corrino		9780340771150
207	 Brian Herbert and Kevin J. Anderson.**DUNE: House Harkonnen		9781400193622
208	 Brian Herbert and Kevin J. Anderson.**DUNE: The Battle of Corrin		9782266192156
209	 Brian Herbert and Kevin J. Anderson.**HUNTERS OF DUNE		9780765312921
210	 Brian Herbert and Kevin J. Anderson.**SANDWORMS OF DUNE		9781439560655
211	 Brian Jacques.**THE LONG PATROL		9780613131995
212	 Bruce Chatwin.**THE SONGLINES		9783596509508
213	 Caleb Carr.**KILLING TIME		9780679463320
214	 Caleb Carr.**THE ALIENIST		9789724609430
215	 Caleb Carr.**THE ANGEL OF DARKNESS		9780892960385
216	 Candace Bushnell.**FOUR BLONDES		9782738226655
217	 Candace Bushnell.**LIPSTICK JUNGLE		9780786868193
218	 Candace Bushnell.**TRADING UP		9783548263663
219	 Carl Hiaasen.**BASKET CASE		9780330490184
220	 Carl Hiaasen.**LUCKY YOU		9780307767431
221	 Carl Hiaasen.**NATURE GIRL		9780552216463
