	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
36		Stephen King	Stephen King**DOCTOR SLEEP	147672766X	9781476727660	2013-10-26	5	4	6	DOCTOR SLEEP
37		J Lynn	J Lynn**TRUST IN ME	None	9780062304643	2013-10-26	0	0	16	TRUST IN ME
38		E L James	E L James**FIFTY SHADES DARKER	1612130593	9781612130590	2013-10-26	0	0	20	FIFTY SHADES DARKER
39		JC Reed	JC Reed**TREASURE YOUR LOVE	None	A00B00FVAKOY6	2013-10-26	2	11	11	TREASURE YOUR LOVE
40		David Baldacci	David Baldacci**ONE SUMMER	0446583170	9780446583176	2011-07-16	5	7	13	ONE SUMMER
41		David Baldacci	David Baldacci**HELL'S CORNER	0446571415	9780446571418	2011-07-16	0	0	19	HELL'S CORNER
42		Jennifer Weiner	Jennifer Weiner**THEN CAME YOU	1451617747	9781451617740	2011-07-16	1	0	4	THEN CAME YOU
43		Tess Gerritsen	Tess Gerritsen**THE SILENT GIRL	0345526600	9780345526601	2011-07-16	2	4	15	THE SILENT GIRL
44		S J Watson	S J Watson**BEFORE I GO TO SLEEP	None	9780062060570	2011-07-16	2	0	7	BEFORE I GO TO SLEEP
45		Janet Evanovich	Janet Evanovich**SMOKIN’ SEVENTEEN	0345527690	9780345527691	2011-07-16	4	3	8	SMOKIN’ SEVENTEEN
46		George R R Martin	George R R Martin**A STORM OF SWORDS	055389787X	9780553897876	2011-07-16	0	0	16	A STORM OF SWORDS
47		James Patterson and Michael Ledwidge	James Patterson and Michael Ledwidge**NOW YOU SEE HER	031612723X	9780316127233	2011-07-16	3	2	3	NOW YOU SEE HER
48		George R R Martin	George R R Martin**A FEAST FOR CROWS	0553900323	9780553900323	2011-07-16	0	0	18	A FEAST FOR CROWS
49		George R R Martin	George R R Martin**A CLASH OF KINGS	0553897853	9780553897852	2011-07-16	6	10	10	A CLASH OF KINGS
50		Tom Clancy with Peter Telep	Tom Clancy with Peter Telep**AGAINST ALL ENEMIES	None	9781101536872	2011-07-16	0	0	17	AGAINST ALL ENEMIES
51		George R R Martin	George R R Martin**A GAME OF THRONES	0553897845	9780553897845	2011-07-16	14	6	5	A GAME OF THRONES
52		Sara Gruen	Sara Gruen**WATER FOR ELEPHANTS	1565125851	9781565125858	2011-07-16	25	8	12	WATER FOR ELEPHANTS
53		Iris Johansen	Iris Johansen**QUINN	None	9781429987530	2011-07-16	1	0	6	QUINN
54		Michael Connelly	Michael Connelly**THE BLACK ECHO	0759525773	9780759525771	2011-07-16	3	5	11	THE BLACK ECHO
55		George R R Martin	George R R Martin**A DANCE WITH DRAGONS	0553801473	9780553801477	2011-07-16	1	0	1	A DANCE WITH DRAGONS
56		Kathryn Stockett	Kathryn Stockett**THE HELP	1440697663	9781440697661	2011-07-16	22	1	2	THE HELP
57		Ann Patchett	Ann Patchett**STATE OF WONDER	0062049828	9780062049827	2011-07-16	6	9	9	STATE OF WONDER
58		J Courtney Sullivan	J Courtney Sullivan**MAINE	0307596818	9780307596819	2011-07-16	0	0	20	MAINE
59		Emma Donoghue	Emma Donoghue**ROOM	0316098329	9780316098328	2011-07-16	10	12	14	ROOM
60		Tatiana de Rosnay	Tatiana de Rosnay**SARAH’S KEY	1429985216	9781429985215	2011-08-20	5	9	4	SARAH’S KEY
61		John Grisham	John Grisham**THE CONFESSION	0440245117	9780440245117	2011-08-20	9	10	9	THE CONFESSION
62		Emma Donoghue	Emma Donoghue**ROOM	0316098329	9780316098328	2011-08-20	0	0	20	ROOM
63		J A Jance	J A Jance**UNTIL PROVEN GUILTY	0061758221	9780061758225	2011-08-20	3	4	11	UNTIL PROVEN GUILTY
64		Lee Child	Lee Child**SECOND SON	None	9780345529725	2011-08-20	1	0	2	SECOND SON
65		Abraham Verghese	Abraham Verghese**CUTTING FOR STONE	0375714367	9780375714368	2011-08-20	0	0	18	CUTTING FOR STONE
66		Terry Goodkind	Terry Goodkind**THE OMEN MACHINE	0765327724	9780765327727	2011-08-20	1	0	12	THE OMEN MACHINE
67		James Patterson and Michael Ledwidge	James Patterson and Michael Ledwidge**NOW YOU SEE HER	031612723X	9780316127233	2011-08-20	8	3	5	NOW YOU SEE HER
68		George R R Martin	George R R Martin**A CLASH OF KINGS	0553897853	9780553897852	2011-08-20	9	0	15	A CLASH OF KINGS
69		Darcie Chan	Darcie Chan**THE MILL RIVER RECLUSE	None	A00B0051PRFLQ	2011-08-20	0	0	19	THE MILL RIVER RECLUSE
70		Michael Prescott	Michael Prescott**STEALING FACES	None	A00B00547KH66	2011-08-20	2	13	13	STEALING FACES
