	author	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	author_title	asin	isbn10	isbn13
7423	Joyce Cary	1950-05-28	18	13	11	THE HORSE'S MOUTH	Joyce Cary**THE HORSE'S MOUTH	 	0940322196	9780940322196
7424	Kathleen Winsor	1950-05-28	7	3	3	STAR MONEY	Kathleen Winsor**STAR MONEY	 	0451008685	9780451008688
7425	Max Shulman	1950-05-28	7	9	9	SLEEP TILL NOON	Max Shulman**SLEEP TILL NOON	 	 	 
7426	John Hersey	1950-05-28	14	2	2	THE WALL	John Hersey**THE WALL	 	0394756967	9780394756967
7427	Laura Z. Hobson	1950-05-28	2	11	15	THE OTHER FATHER	Laura Z. Hobson**THE OTHER FATHER			
7428	Ernest Gebler	1950-05-28	4	8	7	THE PLYMOUTH ADVENTURE	Ernest Gebler**THE PLYMOUTH ADVENTURE			
7429	Daphne du Maurier	1950-05-28	21	--	16	THE PARASITES	Daphne du Maurier**THE PARASITES	 	0316253502	9780316253505
7430	Conrad Richter	1950-05-28	1	--	12	THE TOWN	Conrad Richter**THE TOWN	B01CWZFC5S	0821409808	9780821409800
7431	Jay Walz	1950-05-28	3	12	10	THE BIZARRE SISTERS	Jay Walz**THE BIZARRE SISTERS	 	 	 
7432	Ruth Chatterton	1950-05-28	3	6	8	HOMEWARD BORNE	Ruth Chatterton**HOMEWARD BORNE	 	 	 
7433	Margaret Kennedy	1950-05-28	10	10	14	THE FEAST	Margaret Kennedy**THE FEAST	 	0718208110	9780718208110
7434	Livingston Biddle	1950-05-28	2	14	13	MAIN LINE	Livingston Biddle**MAIN LINE			
7435	Herman Wouk	1952-08-24	73	 1	2	THE CAINE MUTINY	Herman Wouk**THE CAINE MUTINY	B009NLFJ80	0316955108	9780316955102
7436	Nicholas Monsarrat	1952-08-24	56	8	8	THE CRUEL SEA	Nicholas Monsarrat**THE CRUEL SEA	 	1580800467	9781580800464
7437	Pamela Hansford Johnson	1952-08-24	5	9	7	CATHERINE CARTER	Pamela Hansford Johnson**CATHERINE CARTER	 	0333084640	9780333084649
7438	Frank Yerby	1952-08-24	20	12	14	THE SARACEN BLADE	Frank Yerby**THE SARACEN BLADE	 	0899662161	9780899662169
7439	Thomas B. Costain	1952-08-24	6	2	1	THE SILVER CHALICE	Thomas B. Costain**THE SILVER CHALICE	B0060AY8UW	0829423508	9780829423501
7440	Charles Mills	1952-08-24	12	13	16	THE ALEXANDRIANS	Charles Mills**THE ALEXANDRIANS			
7441	Robert Reynolds	1952-08-24	2	11	12	THE SINNER OF SAINT AMBROSE	Robert Reynolds**THE SINNER OF SAINT AMBROSE			
7442	Alberto Moravia	1952-08-24	2	16	15	THE FANCY DRESS PARTY	Alberto Moravia**THE FANCY DRESS PARTY	 	0436285517	9780436285516
7443	Daphne du Maurier	1952-08-24	30	6	6	MY COUSIN RACHEL	Daphne du Maurier**MY COUSIN RACHEL	B01EYTVPNS	0316252964	9780316252966
7444	Agnes Sligh Turnbull	1952-08-24	23	5	5	THE GOWN OF GLORY	Agnes Sligh Turnbull**THE GOWN OF GLORY	 	0006136729	9780006136729
7445	Howard Spring	1952-08-24	17	3	3	THE HOUSES IN BETWEEN	Howard Spring**THE HOUSES IN BETWEEN	 	1842323474	9781842323472
7446	Frank O'Conner	1952-08-24	1	--	13	THE STORIES OF FRANK O'CONNER	Frank O'Conner**THE STORIES OF FRANK O'CONNER			
7447	Pearl S. Buck	1952-08-24	14	7	10	THE HIDDEN FLOWER	Pearl S. Buck**THE HIDDEN FLOWER	B00CLVB9EM	0855945710	9780855945718
7448	Giovanni Guareschi	1952-08-24	2	14	9	DON CAMILLO AND HIS FLOCK	Giovanni Guareschi**DON CAMILLO AND HIS FLOCK			
7449	Barnaby Conrad	1952-08-24	9	4	4	MATADOR	Barnaby Conrad**MATADOR	B00B03G48S	0884962865	9780884962861
7450	Horace McCoy	1952-08-24	8	10	11	SCALPEL	Horace McCoy**SCALPEL	B00ARQXXGK	0451071387	9780451071385
7451	Elia Kazan	1967-07-23	24	1	1	THE ARRANGEMENT	Elia Kazan**THE ARRANGEMENT	 	0812810147	9780812810141
7452	Ira Levin	1967-07-23	9	6	6	ROSEMARY'S BABY	Ira Levin**ROSEMARY'S BABY	B00T5PI5Z8	0451194004	9780451194008
7453	Victoria Holt	1967-07-23	2	--	8	THE KING OF THE CASTLE	Victoria Holt**THE KING OF THE CASTLE	 	044945102X	9780449451021
7454	Gore Vidal	1967-07-23	12	2	4	WASHINGTON, D.C.	Gore Vidal**WASHINGTON, D.C.	 	0375708774	9780375708770
7455	Irving Wallace	1967-07-23	9	5	5	THE PLOT	Irving Wallace**THE PLOT	 	0671584006	9780671584009
7456	Thornton Wilder	1967-07-23	17	3	2	THE EIGHTH DAY	Thornton Wilder**THE EIGHTH DAY	B00G2A7XYI	0060088915	9780060088910
7457	Robert Crichton	1967-07-23	46	--	9	THE SECRET OF SANTA VITTORIA	Robert Crichton**THE SECRET OF SANTA VITTORIA	B00EGJE41C	0881842672	9780881842678
7458	Chaim Potok	1967-07-23	11	4	3	THE CHOSEN	Chaim Potok**THE CHOSEN	B01BCEPO58	0449213447	9780449213445
7459	Louis Auchincloss	1967-07-23	17	7	7	TALES OF MANHATTAN	Louis Auchincloss**TALES OF MANHATTAN	 	0395073685	9780395073681
7460	Elliott Arnold	1967-07-23	2	10	10	A NIGHT OF WATCHING	Elliott Arnold**A NIGHT OF WATCHING	 	9997406249	9789997406248
7461	Mika Waltari	1950-05-21	39	5	5	THE EGYPTIAN	Mika Waltari**THE EGYPTIAN	 	 	 
7462	Nelia Gardner White	1950-05-21	11	16	16	THE PINK HOUSE	Nelia Gardner White**THE PINK HOUSE	 	 	 
7463	Robert Wilder	1950-05-21	8	8	7	WAIT FOR TOMORROW	Robert Wilder**WAIT FOR TOMORROW	 	 	 
7464	Henry Morton Robinson	1950-05-21	9	1	1	THE CARDINAL	Henry Morton Robinson**THE CARDINAL	 	0671814524	9780671814526
7465	Joyce Cary	1950-05-21	17	9	13	THE HORSE'S MOUTH	Joyce Cary**THE HORSE'S MOUTH	 	0940322196	9780940322196
7466	Kathleen Winsor	1950-05-21	6	3	3	STAR MONEY	Kathleen Winsor**STAR MONEY	 	0451008685	9780451008688
7467	Max Shulman	1950-05-21	6	7	9	SLEEP TILL NOON	Max Shulman**SLEEP TILL NOON	 	 	 
7468	John Hersey	1950-05-21	13	2	2	THE WALL	John Hersey**THE WALL	 	0394756967	9780394756967
7469	Ernest Gebler	1950-05-21	3	10	8	THE PLYMOUTH ADVENTURE	Ernest Gebler**THE PLYMOUTH ADVENTURE			
7470	Ruth Chatterton	1950-05-21	2	12	6	HOMEWARD BORNE	Ruth Chatterton**HOMEWARD BORNE	 	 	 
7471	A.B. Guthrie Jr	1950-05-21	19	 --	15	THE WAY WEST	A.B. Guthrie Jr**THE WAY WEST			
7472	Laura Z. Hobson	1950-05-21	1	--	11	THE OTHER FATHER	Laura Z. Hobson**THE OTHER FATHER			
7473	Jay Walz	1950-05-21	2	11	12	THE BIZARRE SISTERS	Jay Walz**THE BIZARRE SISTERS	 	 	 
7474	Gwen Bristow	1950-05-21	15	4	4	JUBILEE TRAIL	Gwen Bristow**JUBILEE TRAIL	B00K04NWL0	1556526016	9781556526015
7475	Margaret Kennedy	1950-05-21	9	6	10	THE FEAST	Margaret Kennedy**THE FEAST	 	0718208110	9780718208110
7476	Livingston Biddle	1950-05-21	1	--	14	MAIN LINE	Livingston Biddle**MAIN LINE			
7477	Richard Powell	1957-04-07	14	5	5	THE PHILADELPHIAN	Richard Powell**THE PHILADELPHIAN	B005OC4GKO	0937548642	9780937548646
7478	Richard Bissell	1957-04-07	2	15	8	SAY, DARLING	Richard Bissell**SAY, DARLING	 	 	 
7479	Rebecca West	1957-04-07	18	9	13	THE FOUNTAIN OVERFLOWS	Rebecca West**THE FOUNTAIN OVERFLOWS	B00BBPW0UG	1590170342	9781590170342
7480	John P. Marquand	1957-04-07	11	10	11	STOPOVER: TOKYO	John P. Marquand**STOPOVER: TOKYO	 	 	 
7481	Sybille Bedford	1957-04-07	8	8	10	A LEGACY	Sybille Bedford**A LEGACY	 	0141188057	9780141188058
7482	Patrick Dennis	1957-04-07	110	11	12	AUNTIE MAME	Patrick Dennis**AUNTIE MAME	B000FC1GPG	0767908198	9780767908191
7483	Daphne du Maurier	1957-04-07	8	1	1	THE SCAPEGOAT	Daphne du Maurier**THE SCAPEGOAT	B00GR5MZFK	0316252980	9780316252980
7484	Grace Metalious	1957-04-07	30	2	2	PEYTON PLACE	Grace Metalious**PEYTON PLACE	B004P1JFIS	1555534007	9781555534004
7485	Gerald Green	1957-04-07	9	6	6	THE LAST ANGRY MAN	Gerald Green**THE LAST ANGRY MAN	B003XREM1K	0425049930	9780425049938
7486	Albert Camus	1957-04-07	7	7	7	THE FALL	Albert Camus**THE FALL	B0092EE8RG	0679720227	9780679720225
7487	Kyle Onstott	1957-04-07	1	--	15	MANDINGO	Kyle Onstott**MANDINGO	 	 	 
7488	John Cheever	1957-04-07	2	14	9	THE WAPSHOT CHRONICLE	John Cheever**THE WAPSHOT CHRONICLE	 	0060528877	9780060528874
7489	Ernest Gann	1957-04-07	10	13	14	TWILIGHT FOR THE GODS	Ernest Gann**TWILIGHT FOR THE GODS	 	0671811991	9780671811990
7490	Meyer Levin	1957-04-07	23	3	4	COMPULSION	Meyer Levin**COMPULSION	B00P9SRNSA	1941493025	9781941493021
7491	Frances Parkinson Keyes	1957-04-07	12	4	3	BLUE CAMELLIA	Frances Parkinson Keyes**BLUE CAMELLIA	 	067178756X	9780671787561
7492	Charles Morgan	1957-04-07	1	--	16	CHALLENGE TO VENUS	Charles Morgan**CHALLENGE TO VENUS	 	0345358821	9780345358820
7493	Shelley Mydans	1965-10-31	7	7	8	THOMAS	Shelley Mydans**THOMAS	 	0529053926	9780529053923
7494	Robin Moore	1965-10-31	20	4	5	THE GREEN BERETS	Robin Moore**THE GREEN BERETS	B004N62HP8	1602390177	9781602390171
7495	Robert Ruark	1965-10-31	5	8	7	THE HONEY BADGER	Robert Ruark**THE HONEY BADGER	 	 	 
7496	Arthur Hailey	1965-10-31	37	5	6	HOTEL	Arthur Hailey**HOTEL	B00JVCHBYQ	0425176363	9780425176368
7497	Ian Fleming	1965-10-31	13	6	9	THE MAN WITH THE GOLDEN GUN	Ian Fleming**THE MAN WITH THE GOLDEN GUN	B008L40QB0	014200328X	9780142003282
7498	Irving Stone	1965-10-31	3	9	4	THOSE WHO LOVE	Irving Stone**THOSE WHO LOVE	 	045103080X	9780451030801
7499	Bel Kaufman	1965-10-31	36	2	2	UP THE DOWN STAIRCASE	Bel Kaufman**UP THE DOWN STAIRCASE	B0096LJUN2	0060973617	9780060973612
7500	Mary Stewart	1965-10-31	8	3	3	AIRS ABOVE THE GROUND	Mary Stewart**AIRS ABOVE THE GROUND	 	006074748X	9780060747480
7501	Noah Gordon	1965-10-31	12	10	10	THE RABBI	Noah Gordon**THE RABBI	B00840D1U4	0449214540	9780449214541
7502	James Michener	1965-10-31	25	1	1	THE SOURCE	James Michener**THE SOURCE	B00FO60CHQ	0375760385	9780375760389
7503	Mika Waltari	1950-09-10	55	11	15	THE EGYPTIAN	Mika Waltari**THE EGYPTIAN	 	 	 
7504	Ruth Chatterton	1950-09-10	18	10	12	HOMEWARD BORNE	Ruth Chatterton**HOMEWARD BORNE	 	 	 
7505	Henry Morton Robinson	1950-09-10	25	1	1	THE CARDINAL	Henry Morton Robinson**THE CARDINAL	 	0671814524	9780671814526
7506	Ben Ames Williams	1950-09-10	2	14	13	OWEN GLEN	Ben Ames Williams**OWEN GLEN	 	 	 
7507	Kathleen Winsor	1950-09-10	21	--	14	STAR MONEY	Kathleen Winsor**STAR MONEY	 	0451008685	9780451008688
7508	Alberto Moravia	1950-09-10	7	6	7	TWO ADOLESCENTS	Alberto Moravia**TWO ADOLESCENTS	 	0451013727	9780451013729
7509	Robert Penn Warren	1950-09-10	12	2	3	WORLD AND ENOUGH TIME	Robert Penn Warren**WORLD AND ENOUGH TIME	 	0807124788	9780807124789
7510	John Hersey	1950-09-10	29	7	9	THE WALL	John Hersey**THE WALL	 	0394756967	9780394756967
7511	Arthur Gordon	1950-09-10	3	15	16	REPRISAL	Arthur Gordon**REPRISAL	 	 	 
7512	Giovanni Guareschi	1950-09-10	3	12	10	THE LITTLE WORLD OF DON CAMILLO	Giovanni Guareschi**THE LITTLE WORLD OF DON CAMILLO	 	0850467624	9780850467628
7513	A.J. Cronin	1950-09-10	2	8	6	THE SPANISH GARDENER	A.J. Cronin**THE SPANISH GARDENER	 	0575002654	9780575002654
7514	Frank Yerby	1950-09-10	4	5	4	FLOODTIDE	Frank Yerby**FLOODTIDE	 	0434890154	9780434890156
7515	Ernest Hemingway	1950-09-10	1	--	2	ACROSS THE RIVER AND INTO THE TREES	Ernest Hemingway**ACROSS THE RIVER AND INTO THE TREES	B00LK570T8	0684844648	9780684844640
7516	Gwen Bristow	1950-09-10	31	3	5	JUBILEE TRAIL	Gwen Bristow**JUBILEE TRAIL	B00K04NWL0	1556526016	9781556526015
7517	Nevil Shute	1950-09-10	13	4	8	THE LEGACY	Nevil Shute**THE LEGACY	B01LEAOOWY	1842323008	9781842323007
7518	Louise A. Stinetorf	1950-09-10	7	9	11	WHITE WITCH DOCTOR	Louise A. Stinetorf**WHITE WITCH DOCTOR	 	0664300340	9780664300340
7519	Paul Wellman	1954-03-07	23	10	10	THE FEMALE	Paul Wellman**THE FEMALE	 	 	 
7520	Kenneth Dodson	1954-03-07	1	--	14	AWAY ALL BOATS	Kenneth Dodson**AWAY ALL BOATS	 	1557501734	9781557501738
7521	Leon Uris	1954-03-07	45	11	12	BATTLE CRY	Leon Uris**BATTLE CRY	B0018ND8AC	006075186X	9780060751869
7522	Charles Bracelen Flood	1954-03-07	18	12	9	LOVE IS A BRIDGE	Charles Bracelen Flood**LOVE IS A BRIDGE	 	 	9780515035353
7523	Esther Forbes	1954-03-07	5	6	6	RAINBOW ON THE ROAD	Esther Forbes**RAINBOW ON THE ROAD	 	 	 
7524	Ernest K. Gann	1954-03-07	46	4	4	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
7525	A.J. Cronin	1954-03-07	34	9	11	BEYOND THIS PLACE	A.J. Cronin**BEYOND THIS PLACE	 	0884115259	9780884115250
7526	Jessamyn West	1954-03-07	8	8	13	CRESS DELAHANTY	Jessamyn West**CRESS DELAHANTY	B01MFDCQUZ	1558615164	9781558615168
7527	Morton Thompson	1954-03-07	9	1	1	NOT AS A STRANGER	Morton Thompson**NOT AS A STRANGER	 	1568491182	9781568491189
7528	James A. Michener	1954-03-07	6	2	2	SAYONARA	James A. Michener**SAYONARA	B00H6JHM68	0449204146	9780449204146
7529	Andre Soubiran	1954-03-07	16	15	15	THE DOCTORS	Andre Soubiran**THE DOCTORS	 	 	 
7530	Philip Wylie	1954-03-07	7	5	5	TOMORROW!	Philip Wylie**TOMORROW!	B00OPJW8S4	9997410602	9789997410603
7531	Davis Grubb	1954-03-07	2	13	7	THE NIGHT OF THE HUNTER	Davis Grubb**THE NIGHT OF THE HUNTER	B00QP3RP0O	1596542292	9781596542297
7532	Charles Wertenbaker	1954-03-07	3	14	16	THE DEATH OF KINGS	Charles Wertenbaker**THE DEATH OF KINGS			
7533	Harnett T. Kane	1954-03-07	23	7	8	THE LADY OF ARLINGTON	Harnett T. Kane**THE LADY OF ARLINGTON	 	0385042493	9780385042499
7534	Samuel Shellabarger	1954-03-07	20	3	3	LORD VANITY	Samuel Shellabarger**LORD VANITY	 	 	 
7535	Thomas B. Costain	1953-08-02	55	9	9	THE SILVER CHALICE	Thomas B. Costain**THE SILVER CHALICE	B0060AY8UW	0829423508	9780829423501
7536	Daphne du Maurier	1953-08-02	21	12	10	KISS ME AGAIN, STRANGER	Daphne du Maurier**KISS ME AGAIN, STRANGER	 	0671753282	9780671753283
7537	F.W. Kenyon	1953-08-02	9	7	7	THE EMPEROR'S LADY	F.W. Kenyon**THE EMPEROR'S LADY	 	 	 
7538	Rosamond Lehmann	1953-08-02	12	16	15	THE ECHOING GROVE	Rosamond Lehmann**THE ECHOING GROVE	B00YTFTAA8	1844080366	9781844080366
7539	Eric Ambler	1953-08-02	1	--	11	THE SCHIRMER INHERITANCE	Eric Ambler**THE SCHIRMER INHERITANCE	B005PRF5GW	0375726764	9780375726767
7540	James A. Michener	1953-08-02	3	5	6	THE BRIDGES AT TOKO-RI	James A. Michener**THE BRIDGES AT TOKO-RI	B00H6JHM7M	0449206513	9780449206515
7541	Leon Uris	1953-08-02	14	2	2	BATTLE CRY	Leon Uris**BATTLE CRY	B0018ND8AC	006075186X	9780060751869
7542	Francis Van Wyck Mason	1953-08-02	24	13	14	GOLDEN ADMIRAL	Francis Van Wyck Mason**GOLDEN ADMIRAL			
7543	Lin Yutang	1953-08-02	2	15	12	THE VERMILLION GATE	Lin Yutang**THE VERMILLION GATE			
7544	Mika Waltari	1953-08-02	9	3	5	THE DARK ANGEL	Mika Waltari**THE DARK ANGEL	 	951015542X	9789510155424
7545	Ernest K. Gann	1953-08-02	15	4	3	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
7546	A.J. Cronin	1953-08-02	3	6	4	BEYOND THIS PLACE	A.J. Cronin**BEYOND THIS PLACE	 	0884115259	9780884115250
7547	Annemarie Selinko	1953-08-02	29	1	1	DESIREE	Annemarie Selinko**DESIREE	 	8493388335	9788493388331
7548	Nevil Shute	1953-08-02	12	14	16	IN THE WET	Nevil Shute**IN THE WET	 	1842322540	9781842322543
7549	Rita Vercors	1953-08-02	4	11	13	YOU SHALL KNOW THEM	Rita Vercors**YOU SHALL KNOW THEM	 	 	 
7550	Rumer Godden	1953-08-02	10	8	8	KINGFISHERS CATCH FIRE	Rumer Godden**KINGFISHERS CATCH FIRE	 	0330487833	9780330487832
7551	Herbert Tarr	1968-07-14	3	--	8	HEAVEN HELP US!	Herbert Tarr**HEAVEN HELP US!	 	999740923X	9789997409232
7552	Taylor Caldwell	1968-07-14	11	3	3	TESTIMONY OF TWO MEN	Taylor Caldwell**TESTIMONY OF TWO MEN	 	044920572X	9780449205723
7553	Arthur Hailey	1968-07-14	18	1	1	AIRPORT	Arthur Hailey**AIRPORT	B00JVCHC36	0425176088	9780425176085
7554	John Updike	1968-07-14	16	2	2	COUPLES	John Updike**COUPLES	B006NKKOXO	044991190X	9780449911907
7555	Leon Uris	1968-07-14	44	6	4	TOPAZ	Leon Uris**TOPAZ	 	 	 
7556	William Styron	1968-07-14	39	--	9	THE CONFESSIONS OF NAT TURNER	William Styron**THE CONFESSIONS OF NAT TURNER	B00B06NAAA	0679736638	9780679736639
7557	Catherine Marshall	1968-07-14	37	10	10	CHRISTY	Catherine Marshall**CHRISTY	 	0310241634	9780310241638
7558	Charles Portis	1968-07-14	2	9	7	TRUE GRIT	Charles Portis**TRUE GRIT	B00XBMNAW4	1585673692	9781585673698
7559	Gore Vidal	1968-07-14	22	4	5	MYRA BRECKINRIDGE	Gore Vidal**MYRA BRECKINRIDGE	 	1125979488	9781125979488
7560	Fletcher Knebel	1968-07-14	27	5	6	VANISHED	Fletcher Knebel**VANISHED	 	0441860389	9780441860388
7561	Mika Waltari	1950-09-17	56	15	16	THE EGYPTIAN	Mika Waltari**THE EGYPTIAN	 	 	 
7562	Gwen Bristow	1950-09-17	32	5	6	JUBILEE TRAIL	Gwen Bristow**JUBILEE TRAIL	B00K04NWL0	1556526016	9781556526015
7563	Henry Morton Robinson	1950-09-17	26	1	1	THE CARDINAL	Henry Morton Robinson**THE CARDINAL	 	0671814524	9780671814526
7564	Ben Ames Williams	1950-09-17	3	13	8	OWEN GLEN	Ben Ames Williams**OWEN GLEN	 	 	 
7565	Kathleen Winsor	1950-09-17	22	14	15	STAR MONEY	Kathleen Winsor**STAR MONEY	 	0451008685	9780451008688
7566	Alberto Moravia	1950-09-17	8	7	11	TWO ADOLESCENTS	Alberto Moravia**TWO ADOLESCENTS	 	0451013727	9780451013729
7567	Frank Yerby	1950-09-17	5	4	3	FLOODTIDE	Frank Yerby**FLOODTIDE	 	0434890154	9780434890156
7568	John Hersey	1950-09-17	30	9	9	THE WALL	John Hersey**THE WALL	 	0394756967	9780394756967
7569	Arthur Gordon	1950-09-17	4	16	13	REPRISAL	Arthur Gordon**REPRISAL	 	 	 
7570	Giovanni Guareschi	1950-09-17	4	10	10	THE LITTLE WORLD OF DON CAMILLO	Giovanni Guareschi**THE LITTLE WORLD OF DON CAMILLO	 	0850467624	9780850467628
7571	A.J. Cronin	1950-09-17	3	6	4	THE SPANISH GARDENER	A.J. Cronin**THE SPANISH GARDENER	 	0575002654	9780575002654
7572	Robert Penn Warren	1950-09-17	13	3	5	WORLD AND ENOUGH TIME	Robert Penn Warren**WORLD AND ENOUGH TIME	 	0807124788	9780807124789
7573	Ernest Hemingway	1950-09-17	2	2	2	ACROSS THE RIVER AND INTO THE TREES	Ernest Hemingway**ACROSS THE RIVER AND INTO THE TREES	B00LK570T8	0684844648	9780684844640
7574	Ruth Chatterton	1950-09-17	19	12	14	HOMEWARD BORNE	Ruth Chatterton**HOMEWARD BORNE	 	 	 
7575	Nevil Shute	1950-09-17	14	8	7	THE LEGACY	Nevil Shute**THE LEGACY	B01LEAOOWY	1842323008	9781842323007
7576	Louise A. Stinetorf	1950-09-17	8	11	12	WHITE WITCH DOCTOR	Louise A. Stinetorf**WHITE WITCH DOCTOR	 	0664300340	9780664300340
7577	Herman Wouk	1953-08-09	122	 --	14	THE CAINE MUTINY	Herman Wouk**THE CAINE MUTINY	B009NLFJ80	0316955108	9780316955102
7578	Thomas B. Costain	1953-08-09	56	9	8	THE SILVER CHALICE	Thomas B. Costain**THE SILVER CHALICE	B0060AY8UW	0829423508	9780829423501
7579	Eric Ambler	1953-08-09	2	11	12	THE SCHIRMER INHERITANCE	Eric Ambler**THE SCHIRMER INHERITANCE	B005PRF5GW	0375726764	9780375726767
7580	Daphne du Maurier	1953-08-09	22	10	10	KISS ME AGAIN, STRANGER	Daphne du Maurier**KISS ME AGAIN, STRANGER	 	0671753282	9780671753283
7581	Leon Uris	1953-08-09	15	2	2	BATTLE CRY	Leon Uris**BATTLE CRY	B0018ND8AC	006075186X	9780060751869
7582	Francis Van Wyck Mason	1953-08-09	25	14	15	GOLDEN ADMIRAL	Francis Van Wyck Mason**GOLDEN ADMIRAL			
7583	Lin Yutang	1953-08-09	3	12	13	THE VERMILLION GATE	Lin Yutang**THE VERMILLION GATE			
7584	James A. Michener	1953-08-09	4	6	5	THE BRIDGES AT TOKO-RI	James A. Michener**THE BRIDGES AT TOKO-RI	B00H6JHM7M	0449206513	9780449206515
7585	Ernest K. Gann	1953-08-09	16	3	3	THE HIGH AND THE MIGHTY	Ernest K. Gann**THE HIGH AND THE MIGHTY	 	0671827634	9780671827632
7586	A.J. Cronin	1953-08-09	4	4	4	BEYOND THIS PLACE	A.J. Cronin**BEYOND THIS PLACE	 	0884115259	9780884115250
7587	Annemarie Selinko	1953-08-09	30	1	1	DESIREE	Annemarie Selinko**DESIREE	 	8493388335	9788493388331
7588	Bertrand Russell	1953-08-09	1	--	16	SATAN IN THE SUBURBS	Bertrand Russell**SATAN IN THE SUBURBS	 	1852900024	9781852900021
7589	Mika Waltari	1953-08-09	10	5	6	THE DARK ANGEL	Mika Waltari**THE DARK ANGEL	 	951015542X	9789510155424
7590	Rita Vercors	1953-08-09	5	13	11	YOU SHALL KNOW THEM	Rita Vercors**YOU SHALL KNOW THEM	 	 	 
7591	Rumer Godden	1953-08-09	11	8	9	KINGFISHERS CATCH FIRE	Rumer Godden**KINGFISHERS CATCH FIRE	 	0330487833	9780330487832
7592	F.W. Kenyon	1953-08-09	10	7	7	THE EMPEROR'S LADY	F.W. Kenyon**THE EMPEROR'S LADY	 	 	 
7593	Edwin O'Connor	1961-06-25	3	3	4	THE EDGE OF SADNESS	Edwin O'Connor**THE EDGE OF SADNESS	B002BNKQ8A	0829421238	9780829421231
7594	Allen Drury	1961-06-25	100	 14	14	ADVISE AND CONSENT	Allen Drury**ADVISE AND CONSENT	B00HRHE2FS	0380010070	9780380010073
7595	Irving Stone	1961-06-25	15	1	1	THE AGONY AND THE ECSTASY	Irving Stone**THE AGONY AND THE ECSTASY	 	0451171357	9780451171351
7596	Robert Lewis Taylor	1961-06-25	7	9	11	A JOURNEY TO MATECUMBE	Robert Lewis Taylor**A JOURNEY TO MATECUMBE	 	 	 
7597	A.A. Milnei	1961-06-25	20	15	15	WINNIE ILLE PU	A.A. Milnei**WINNIE ILLE PU			
7598	John Dos Passos	1961-06-25	16	--	16	MIDCENTURY	John Dos Passos**MIDCENTURY	 	 	 
7599	James Michener	1961-06-25	86	 11	7	HAWAII	James Michener**HAWAII	 	0375760377	9780375760372
7600	Andre Schwarz-Bart	1961-06-25	34	5	5	THE LAST OF THE JUST	Andre Schwarz-Bart**THE LAST OF THE JUST	B013JQM7E8	1585670162	9781585670161
7601	John Steinbeck	1961-06-25	1	--	6	THE WINTER OF OUR DISCONTENT	John Steinbeck**THE WINTER OF OUR DISCONTENT	B001DUGOWY	0143039482	9780143039488
7602	Leon Uris	1961-06-25	4	4	3	MILA 18	Leon Uris**MILA 18	 	0553241605	9780553241600
7603	Henry Miller	1961-06-25	2	10	8	TROPIC OF CANCER	Henry Miller**TROPIC OF CANCER	B0088Q9Y3C	0802131786	9780802131782
7604	Wallace Stegner	1961-06-25	4	7	10	A SHOOTING STAR	Wallace Stegner**A SHOOTING STAR	 	014025241X	9780140252415
7605	Harper Lee	1961-06-25	49	2	2	TO KILL A MOCKINGBIRD	Harper Lee**TO KILL A MOCKINGBIRD	B00K0OI42W	0061120081	9780061120084
7606	Rumer Godden	1961-06-25	16	8	12	CHINA COURT	Rumer Godden**CHINA COURT	 	0688117228	9780688117221
7607	William Maxwell	1961-06-25	12	--	13	THE CHATEAU	William Maxwell**THE CHATEAU	B006ZD64J2	1860468144	9781860468148
7608	Graham Greene	1961-06-25	20	6	9	A BURNT-OUT CASE	Graham Greene**A BURNT-OUT CASE	 	0099478439	9780099478430
7609	John le Carré	1969-03-16	21	3	3	A SMALL TOWN IN GERMANY	John le Carré**A SMALL TOWN IN GERMANY	B008EXK09Q	 	9780743431712
7610	Philip Roth	1969-03-16	6	1	1	PORTNOY'S COMPLAINT	Philip Roth**PORTNOY'S COMPLAINT	B003WUYR8Q	0099399016	9780099399018
7611	Mario Puzo	1969-03-16	1	--	7	THE GODFATHER	Mario Puzo**THE GODFATHER	B0022Q8CSC	0451205766	9780451205766
7612	Helen MacInnes	1969-03-16	28	2	2	THE SALZBURG CONNECTION	Helen MacInnes**THE SALZBURG CONNECTION	B00A1M5EIA	0449208958	9780449208953
7613	Dorothy Eden	1969-03-16	3	10	8	THE VINES OF YARRABEE	Dorothy Eden**THE VINES OF YARRABEE	B00DBLR8LE	0340043091	9780340043097
7614	Alistair MacLean	1969-03-16	15	5	5	FORCE 10 FROM NAVARONE	Alistair MacLean**FORCE 10 FROM NAVARONE	B004JHYTHU	0006164331	9780006164333
7615	Arthur Hailey	1969-03-16	53	4	4	AIRPORT	Arthur Hailey**AIRPORT	B00JVCHC36	0425176088	9780425176085
7616	Norah Lofts	1969-03-16	3	9	9	THE LOST QUEEN	Norah Lofts**THE LOST QUEEN	 	0449221547	9780449221549
7617	Allen Drury	1969-03-16	27	7	10	PRESERVE AND PROTECT	Allen Drury**PRESERVE AND PROTECT	 	0385010303	9780385010306
