	author	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	asin	author_title
1148	Stephenie Meyer	0316068047	9780316068048	2008-07-05	9	5	6	THE HOST		Stephenie Meyer**THE HOST
1149	Brad Thor	141654383X	9781416543831	2008-07-05	1	0	1	THE LAST PATRIOT		Brad Thor**THE LAST PATRIOT
1150	Danielle Steel	0385340257	9780385340250	2008-07-05	2	4	8	ROGUE		Danielle Steel**ROGUE
1151	Garth Stein	0061537934	9780061537936	2008-07-05	0	0	17	THE ART OF RACING IN THE RAIN		Garth Stein**THE ART OF RACING IN THE RAIN
1152	Ethan Canin	0679456805	9780679456803	2008-07-05	2	15	16	AMERICA AMERICA		Ethan Canin**AMERICA AMERICA
1153	Lauren Weisberger	0743290119	9780743290111	2008-07-05	6	8	13	CHASING HARRY WINSTON		Lauren Weisberger**CHASING HARRY WINSTON
1154	David Wroblewski	0061374229	9780061374227	2008-07-05	4	6	5	THE STORY OF EDGAR SAWTELLE		David Wroblewski**THE STORY OF EDGAR SAWTELLE
1155	James Rollins	0061230944	9780061230943	2008-07-05	2	7	12	THE LAST ORACLE		James Rollins**THE LAST ORACLE
1156	Dean R Koontz	0553807056	9780553807059	2008-07-05	0	0	20	ODD HOURS		Dean R Koontz**ODD HOURS
1157	Lee Child	0385340567	9780385340564	2008-07-05	5	11	15	NOTHING TO LOSE		Lee Child**NOTHING TO LOSE
1158	Janet Evanovich	0312349513	9780312349516	2008-07-05	3	1	2	FEARLESS FOURTEEN		Janet Evanovich**FEARLESS FOURTEEN
1159	Jane Green	0670018856	9780670018857	2008-07-05	3	9	10	THE BEACH HOUSE		Jane Green**THE BEACH HOUSE
1160	John Sandford	0399155678	9780399155673	2009-05-30	3	2	3	WICKED PREY		John Sandford**WICKED PREY
1161	Elmore Leonard	0061733148	9780061733147	2009-05-30	3	14	16	ROAD DOGS		Elmore Leonard**ROAD DOGS
1162	Charlaine Harris	0441017150	9780441017157	2009-05-30	4	4	6	DEAD AND GONE		Charlaine Harris**DEAD AND GONE
1163	Wilbur Smith	0312567243	9780312567248	2009-05-30	3	13	15	ASSEGAI		Wilbur Smith**ASSEGAI
1164	JR Ward	045122857X	9780451228574	2009-05-30	0	0	17	LOVER AVENGED		JR Ward**LOVER AVENGED
1165	Lee Child	0739328468	9780739328460	2009-05-30	2	1	2	GONE TOMORROW		Lee Child**GONE TOMORROW
1166	Raymond Khoury	0525950974	9780525950974	2009-05-30	2	9	14	THE SIGN		Raymond Khoury**THE SIGN
1167	Douglas Preston and Lincoln Child	0446580295	9780446580298	2009-05-30	3	5	7	CEMETERY DANCE		Douglas Preston and Lincoln Child**CEMETERY DANCE
1168	Diana Palmer	0373773781	9780373773787	2009-05-30	1	0	12	HEARTLESS		Diana Palmer**HEARTLESS
1169	Stephenie Meyer	0316068047	9780316068048	2009-05-30	55	7	9	THE HOST		Stephenie Meyer**THE HOST
1170	John Grisham	0385517831	9780385517836	2009-05-30	0	0	19	THE ASSOCIATE		John Grisham**THE ASSOCIATE
1171	Lisa See	1400067111	9781400067114	2009-05-30	1	0	4	SHANGHAI GIRLS		Lisa See**SHANGHAI GIRLS
1172	Michael Connelly	0316166308	9780316166300	2009-05-30	1	0	1	THE SCARECROW		Michael Connelly**THE SCARECROW
1173	David Baldacci	044654695X	9780446546959	2009-05-30	6	6	8	FIRST FAMILY		David Baldacci**FIRST FAMILY
1174	Chuck Palahniuk	0385526342	9780385526340	2009-05-30	4	8	10	PYGMY		Chuck Palahniuk**PYGMY
1175	Alexander McCall Smith	0375424490	9780375424496	2009-05-30	6	12	13	TEA TIME FOR THE TRADITIONALLY BUILT		Alexander McCall Smith**TEA TIME FOR THE TRADITIONALLY BUILT
1176	Kathryn Stockett	0399155341	9780399155345	2009-05-30	9	11	11	THE HELP		Kathryn Stockett**THE HELP
1177	Mary Balogh	0385341059	9780385341059	2009-05-30	0	0	18	SEDUCING AN ANGEL		Mary Balogh**SEDUCING AN ANGEL
1178	James Patterson and Maxine Paetro	0316018767	9780316018760	2009-05-30	5	3	5	THE 8TH CONFESSION		James Patterson and Maxine Paetro**THE 8TH CONFESSION
1179	John Hart	0312359322	9780312359324	2009-05-30	0	0	20	THE LAST CHILD		John Hart**THE LAST CHILD
1180	Robert B Parker	0399156488	9780399156489	2010-05-09	1	0	9	BLUE-EYED DEVIL		Robert B Parker**BLUE-EYED DEVIL
1181	Anna Quindlen	1400065747	9781400065745	2010-05-09	4	10	12	EVERY LAST ONE		Anna Quindlen**EVERY LAST ONE
1182	Tom Rachman	0385343663	9780385343664	2010-05-09	1	0	13	THE IMPERFECTIONISTS		Tom Rachman**THE IMPERFECTIONISTS
1183	Stuart Woods	0399156445	9780399156441	2010-05-09	0	0	18	LUCID INTERVALS		Stuart Woods**LUCID INTERVALS
1184	Isabel Allende	0061988243	9780061988240	2010-05-09	2	16	14	ISLAND BENEATH THE SEA		Isabel Allende**ISLAND BENEATH THE SEA
1185	J R Ward	0451229851	9780451229854	2010-05-09	2	2	6	LOVER MINE		J R Ward**LOVER MINE
1186	Jodi Picoult	0743296435	9780743296434	2010-05-09	0	0	17	HOUSE RULES		Jodi Picoult**HOUSE RULES
1187	Elizabeth George	0061160881	9780061160882	2010-05-09	3	8	15	THIS BODY OF DEATH		Elizabeth George**THIS BODY OF DEATH
1188	Charlaine Harris	0441018645	9780441018642	2010-05-09	1	0	1	DEAD IN THE FAMILY		Charlaine Harris**DEAD IN THE FAMILY
1189	Mary Higgins Clark	1439172269	9781439172261	2010-05-09	4	6	7	THE SHADOW OF YOUR SMILE		Mary Higgins Clark**THE SHADOW OF YOUR SMILE
1190	James Patterson and Maxine Paetro	0316036277	9780316036276	2010-05-09	2	1	2	THE 9TH JUDGMENT		James Patterson and Maxine Paetro**THE 9TH JUDGMENT
1191	Richard Paul Evans	1439187312	9781439187319	2010-05-09	0	0	20	THE WALK		Richard Paul Evans**THE WALK
1192	Debbie Macomber	0778327809	9780778327806	2010-05-09	2	5	8	HANNAH'S LIST		Debbie Macomber**HANNAH'S LIST
1193	Kathryn Stockett	0399155341	9780399155345	2010-05-09	58	3	4	THE HELP		Kathryn Stockett**THE HELP
1194	Scott Turow	0446562424	9780446562423	2010-05-09	1	0	3	INNOCENT		Scott Turow**INNOCENT
1195	David Baldacci	0446564087	9780446564083	2010-05-09	3	4	5	DELIVER US FROM EVIL		David Baldacci**DELIVER US FROM EVIL
1196	Karl Marlantes	080211928X	9780802119285	2010-05-09	0	0	16	MATTERHORN		Karl Marlantes**MATTERHORN
1197	Chuck Palahniuk	0385526350	9780385526357	2010-05-09	1	0	10	TELL-ALL		Chuck Palahniuk**TELL-ALL
1198	Nancy Pickard	0345471016	9780345471017	2010-05-09	0	0	19	THE SCENT OF RAIN AND LIGHTNING		Nancy Pickard**THE SCENT OF RAIN AND LIGHTNING
1199	Alexander McCall Smith	0375424504	9780375424502	2010-05-09	3	7	11	THE DOUBLE COMFORT SAFARI CLUB		Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB
1200	Michael Crichton	0061929379	9780061929373	2009-12-12	3	6	7	PIRATE LATITUDES		Michael Crichton**PIRATE LATITUDES
1201	John Grisham	0739377388	9780739377383	2009-12-12	6	7	9	FORD COUNTY		John Grisham**FORD COUNTY
1202	Nicholas Sparks	044655815X	9780446558150	2009-12-12	14	12	10	THE LAST SONG		Nicholas Sparks**THE LAST SONG
1203	Dean Koontz	0553807153	9780553807158	2009-12-12	3	8	12	BREATHLESS		Dean Koontz**BREATHLESS
1204	Glenn Beck with Kevin Balfe and Jason Wright	141659485X	9781416594857	2009-12-12	11	16	8	THE CHRISTMAS SWEATER		Glenn Beck with Kevin Balfe and Jason Wright**THE CHRISTMAS SWEATER
1205	Robert Jordan and Brandon Sanderson	0765302306	9780765302304	2009-12-12	7	14	15	THE GATHERING STORM		Robert Jordan and Brandon Sanderson**THE GATHERING STORM
1206	Vince Flynn	1416595163	9781416595168	2009-12-12	9	11	13	PURSUIT OF HONOR		Vince Flynn**PURSUIT OF HONOR
1207	Laurell K Hamilton	0345495969	9780345495969	2009-12-12	1	0	6	DIVINE MISDEMEANORS		Laurell K Hamilton**DIVINE MISDEMEANORS
1208	Stephen King	1439148503	9781439148501	2009-12-12	5	4	4	UNDER THE DOME, PART 1		Stephen King**UNDER THE DOME, PART 1
1209	Clive Cussler and Justin Scott	0399155996	9780399155994	2009-12-12	0	0	20	THE WRECKER		Clive Cussler and Justin Scott**THE WRECKER
1210	Stieg Larsson	0307269981	9780307269980	2009-12-12	0	0	17	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
1211	David Baldacci	0446195510	9780446195515	2009-12-12	7	13	14	TRUE BLUE		David Baldacci**TRUE BLUE
1212	Jeannette Walls	1416586288	9781416586289	2009-12-12	0	0	16	HALF BROKE HORSES		Jeannette Walls**HALF BROKE HORSES
1213	Steve Berry	0345505476	9780345505477	2009-12-12	0	0	19	THE PARIS VENDETTA		Steve Berry**THE PARIS VENDETTA
1214	Kathryn Stockett	0399155341	9780399155345	2009-12-12	37	5	5	THE HELP		Kathryn Stockett**THE HELP
1215	Sue Grafton	039915597X	9780399155970	2009-12-12	2	1	2	U IS FOR UNDERTOW		Sue Grafton**U IS FOR UNDERTOW
1216	Dan Brown	0385533136	9780385533133	2009-12-12	13	2	1	THE LOST SYMBOL		Dan Brown**THE LOST SYMBOL
1217	Drew Karpyshyn	0345511565	9780345511560	2009-12-12	0	0	18	DARTH BANE		Drew Karpyshyn**DARTH BANE
1218	James Patterson	0316071900	9780316071901	2009-12-12	4	3	3	CROSS FIRE		James Patterson**CROSS FIRE
1219	Barbara Kingsolver	0060852577	9780060852573	2009-12-12	6	10	11	THE LACUNA		Barbara Kingsolver**THE LACUNA
1220	Nicholas Sparks	044655815X	9780446558150	2009-09-19	2	1	2	THE LAST SONG		Nicholas Sparks**THE LAST SONG
1221	Lorrie Moore	0375409289	9780375409288	2009-09-19	3	11	10	A GATE AT THE STAIRS		Lorrie Moore**A GATE AT THE STAIRS
1222	Charlaine Harris	0441017150	9780441017157	2009-09-19	20	10	8	DEAD AND GONE		Charlaine Harris**DEAD AND GONE
1223	Richard North Patterson	0805087737	9780805087734	2009-09-19	0	0	20	THE SPIRE		Richard North Patterson**THE SPIRE
1224	E L Doctorow	1400064945	9781400064946	2009-09-19	3	13	14	HOMER & LANGLEY		E L Doctorow**HOMER & LANGLEY
1225	James Patterson and Richard DiLallo	0316072621	9780316072625	2009-09-19	4	4	4	ALEX CROSS’S ‘TRIAL’		James Patterson and Richard DiLallo**ALEX CROSS’S ‘TRIAL’
1226	Jeff Lindsay	0385518366	9780385518369	2009-09-19	2	8	16	DEXTER BY DESIGN		Jeff Lindsay**DEXTER BY DESIGN
1227	Philippa Gregory	1416563687	9781416563686	2009-09-19	5	7	7	THE WHITE QUEEN		Philippa Gregory**THE WHITE QUEEN
1228	Kathy Reichs	1439166234	9781439166239	2009-09-19	4	12	12	206 BONES		Kathy Reichs**206 BONES
1229	Stephenie Meyer	0316068047	9780316068048	2009-09-19	0	0	17	THE HOST		Stephenie Meyer**THE HOST
1230	Anita Diamant	0743299841	9780743299848	2009-09-19	0	0	18	DAY AFTER NIGHT		Anita Diamant**DAY AFTER NIGHT
1231	Stieg Larsson	0307269981	9780307269980	2009-09-19	8	9	9	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
1232	Nancy Grace	1401394531	9781401394530	2009-09-19	6	14	13	THE ELEVENTH VICTIM		Nancy Grace**THE ELEVENTH VICTIM
1233	Christine Feehan	0425229734	9780425229736	2009-09-19	3	6	11	DARK SLAYER		Christine Feehan**DARK SLAYER
1234	Pat Conroy	038541305X	9780385413053	2009-09-19	6	2	5	SOUTH OF BROAD		Pat Conroy**SOUTH OF BROAD
1235	Kathryn Stockett	0399155341	9780399155345	2009-09-19	25	3	3	THE HELP		Kathryn Stockett**THE HELP
1236	Richard Russo	0375414967	9780375414961	2009-09-19	7	15	15	THAT OLD CAPE MAGIC		Richard Russo**THAT OLD CAPE MAGIC
1237	Dan Brown	0385533136	9780385533133	2009-09-19	1	0	1	THE LOST SYMBOL		Dan Brown**THE LOST SYMBOL
1238	Clive Cussler with Grant Blackwood	0399156429	9780399156427	2009-09-19	3	5	6	SPARTAN GOLD		Clive Cussler with Grant Blackwood**SPARTAN GOLD
1239	Ralph Peters	1429962925	9781429962926	2009-09-19	0	0	19	THE WAR AFTER ARMAGEDDON		Ralph Peters**THE WAR AFTER ARMAGEDDON
1240	Iris Johansen	0312368151	9780312368159	2010-05-02	2	9	14	EIGHT DAYS TO LIVE		Iris Johansen**EIGHT DAYS TO LIVE
1241	Laurie R King	0553805541	9780553805543	2010-05-02	1	0	11	THE GOD OF THE HIVE		Laurie R King**THE GOD OF THE HIVE
1242	Karl Marlantes	080211928X	9780802119285	2010-05-02	0	0	19	MATTERHORN		Karl Marlantes**MATTERHORN
1243	David Baldacci	0446564087	9780446564083	2010-05-02	2	1	4	DELIVER US FROM EVIL		David Baldacci**DELIVER US FROM EVIL
1244	Isabel Allende	0061988243	9780061988240	2010-05-02	1	0	16	ISLAND BENEATH THE SEA		Isabel Allende**ISLAND BENEATH THE SEA
1245	Anna Quindlen	1400065747	9781400065745	2010-05-02	3	8	10	EVERY LAST ONE		Anna Quindlen**EVERY LAST ONE
1246	Alexander McCall Smith	0375424504	9780375424502	2010-05-02	2	3	7	THE DOUBLE COMFORT SAFARI CLUB		Alexander McCall Smith**THE DOUBLE COMFORT SAFARI CLUB
1247	Elizabeth George	0061160881	9780061160882	2010-05-02	2	4	8	THIS BODY OF DEATH		Elizabeth George**THIS BODY OF DEATH
1248	Fern Michaels	0758212739	9780758212733	2010-05-02	0	0	18	RETURN TO SENDER		Fern Michaels**RETURN TO SENDER
1249	Stuart Woods	0399156445	9780399156441	2010-05-02	2	5	9	LUCID INTERVALS		Stuart Woods**LUCID INTERVALS
1250	Mary Higgins Clark	1439172269	9781439172261	2010-05-02	3	6	6	THE SHADOW OF YOUR SMILE		Mary Higgins Clark**THE SHADOW OF YOUR SMILE
1251	James Patterson and Maxine Paetro	0316036277	9780316036276	2010-05-02	1	0	1	THE 9TH JUDGMENT		James Patterson and Maxine Paetro**THE 9TH JUDGMENT
1252	Debbie Macomber	0778327809	9780778327806	2010-05-02	1	0	5	HANNAH'S LIST		Debbie Macomber**HANNAH'S LIST
1253	J R Ward	0451229851	9780451229854	2010-05-02	1	0	2	LOVER MINE		J R Ward**LOVER MINE
1254	Amanda Quick	0399156461	9780399156465	2010-05-02	2	7	15	BURNING LAMP		Amanda Quick**BURNING LAMP
1255	Kathryn Stockett	0399155341	9780399155345	2010-05-02	57	2	3	THE HELP		Kathryn Stockett**THE HELP
1256	Jim Butcher	045146317X	9780451463173	2010-05-02	4	10	13	CHANGES		Jim Butcher**CHANGES
1257	Jodi Picoult	0743296435	9780743296434	2010-05-02	9	12	12	HOUSE RULES		Jodi Picoult**HOUSE RULES
1258	Andrew Gross	0061655953	9780061655951	2010-05-02	0	0	20	RECKLESS		Andrew Gross**RECKLESS
1259	Harlan Coben	052595158X	9780525951582	2010-05-02	0	0	17	CAUGHT		Harlan Coben**CAUGHT
1260	Michael Crichton	0061929379	9780061929373	2009-12-27	5	6	5	PIRATE LATITUDES		Michael Crichton**PIRATE LATITUDES
1261	John Grisham	0385532458	9780385532457	2009-12-27	8	7	6	FORD COUNTY		John Grisham**FORD COUNTY
1262	Dean Koontz	0553807153	9780553807158	2009-12-27	5	12	10	BREATHLESS		Dean Koontz**BREATHLESS
1263	Glenn Beck with Kevin Balfe and Jason Wright	141659485X	9781416594857	2009-12-27	13	9	9	THE CHRISTMAS SWEATER		Glenn Beck with Kevin Balfe and Jason Wright**THE CHRISTMAS SWEATER
1264	Robert Jordan and Brandon Sanderson	0765302306	9780765302304	2009-12-27	8	0	14	THE GATHERING STORM		Robert Jordan and Brandon Sanderson**THE GATHERING STORM
1265	Vince Flynn	1416595163	9781416595168	2009-12-27	0	0	16	PURSUIT OF HONOR		Vince Flynn**PURSUIT OF HONOR
1266	Nicholas Sparks	0446547565	9780446547567	2009-12-27	16	8	8	THE LAST SONG		Nicholas Sparks**THE LAST SONG
1267	Sue Grafton	039915597X	9780399155970	2009-12-27	4	5	7	U IS FOR UNDERTOW		Sue Grafton**U IS FOR UNDERTOW
1268	Stephen King	1439148503	9781439148501	2009-12-27	7	3	3	UNDER THE DOME, PART 1		Stephen King**UNDER THE DOME, PART 1
1269	Clive Cussler and Justin Scott	0399155996	9780399155994	2009-12-27	0	0	19	THE WRECKER		Clive Cussler and Justin Scott**THE WRECKER
1270	Stieg Larsson	0307269981	9780307269980	2009-12-27	0	0	18	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
1271	Pat Conroy	038541305X	9780385413053	2009-12-27	0	0	20	SOUTH OF BROAD		Pat Conroy**SOUTH OF BROAD
1272	David Baldacci	0446195510	9780446195515	2009-12-27	9	16	12	TRUE BLUE		David Baldacci**TRUE BLUE
1273	Hilary Mantel	0805080686	9780805080681	2009-12-27	6	13	13	WOLF HALL		Hilary Mantel**WOLF HALL
1274	Jeannette Walls	1416586288	9781416586289	2009-12-27	8	11	15	HALF BROKE HORSES		Jeannette Walls**HALF BROKE HORSES
1275	Kathryn Stockett	0399155341	9780399155345	2009-12-27	39	4	4	THE HELP		Kathryn Stockett**THE HELP
1276	Barbara Kingsolver	0060852577	9780060852573	2009-12-27	8	10	11	THE LACUNA		Barbara Kingsolver**THE LACUNA
1277	Dan Brown	0385504225	9780385504225	2009-12-27	15	1	1	THE LOST SYMBOL		Dan Brown**THE LOST SYMBOL
1278	James Patterson	0316018783	9780316018784	2009-12-27	6	2	2	CROSS FIRE		James Patterson**CROSS FIRE
1279	Patricia Cornwell	0399156399	9780399156397	2009-12-27	0	0	17	THE SCARPETTA FACTOR		Patricia Cornwell**THE SCARPETTA FACTOR
1280	Michael Crichton	0061929379	9780061929373	2010-01-03	6	5	12	PIRATE LATITUDES		Michael Crichton**PIRATE LATITUDES
1281	John Grisham	0385532458	9780385532457	2010-01-03	9	6	13	FORD COUNTY		John Grisham**FORD COUNTY
1282	Julie Garwood	0345500776	9780345500779	2010-01-03	1	0	4	SIZZLE		Julie Garwood**SIZZLE
1283	Stephen Hunter	1416565159	9781416565154	2010-01-03	1	0	14	I, SNIPER		Stephen Hunter**I, SNIPER
1284	Robert Jordan and Brandon Sanderson	0765302306	9780765302304	2010-01-03	0	0	18	THE GATHERING STORM		Robert Jordan and Brandon Sanderson**THE GATHERING STORM
1285	Jayne Ann Krentz	0399155961	9780399155963	2010-01-03	1	0	5	FIRED UP		Jayne Ann Krentz**FIRED UP
1286	James Rollins	0061231428	9780061231421	2010-01-03	1	0	9	ALTAR OF EDEN		James Rollins**ALTAR OF EDEN
1287	Laurell K Hamilton	0345495969	9780345495969	2010-01-03	0	0	19	DIVINE MISDEMEANORS		Laurell K Hamilton**DIVINE MISDEMEANORS
1288	W E B Griffin and William E Butterworth IV	039915566X	9780399155666	2010-01-03	1	0	6	THE HONOR OF SPIES		W E B Griffin and William E Butterworth IV**THE HONOR OF SPIES
1289	Stephen King	1439148503	9781439148501	2010-01-03	8	3	10	UNDER THE DOME, PART 1		Stephen King**UNDER THE DOME, PART 1
1290	Stieg Larsson	0307269981	9780307269980	2010-01-03	12	0	15	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
1291	Audrey Niffenegger	1439165394	9781439165393	2010-01-03	0	0	20	HER FEARFUL SYMMETRY		Audrey Niffenegger**HER FEARFUL SYMMETRY
1292	Nicholas Sparks	0446547565	9780446547567	2010-01-03	17	8	8	THE LAST SONG		Nicholas Sparks**THE LAST SONG
1293	Tami Hoag	052595130X	9780525951308	2010-01-03	1	0	7	DEEPER THAN THE DEAD		Tami Hoag**DEEPER THAN THE DEAD
1294	Kathryn Stockett	0399155341	9780399155345	2010-01-03	40	4	2	THE HELP		Kathryn Stockett**THE HELP
1295	Patricia Cornwell	0399156399	9780399156397	2010-01-03	0	0	17	THE SCARPETTA FACTOR		Patricia Cornwell**THE SCARPETTA FACTOR
1296	Dan Brown	0385504225	9780385504225	2010-01-03	16	1	1	THE LOST SYMBOL		Dan Brown**THE LOST SYMBOL
1297	Jude Deveraux	1439107947	9781439107942	2010-01-03	1	0	16	DAYS OF GOLD		Jude Deveraux**DAYS OF GOLD
1298	James Patterson	0316018783	9780316018784	2010-01-03	7	2	3	CROSS FIRE		James Patterson**CROSS FIRE
1299	Sue Grafton	039915597X	9780399155970	2010-01-03	5	7	11	U IS FOR UNDERTOW		Sue Grafton**U IS FOR UNDERTOW
1300	Michael Crichton	0061929379	9780061929373	2009-12-19	4	7	6	PIRATE LATITUDES		Michael Crichton**PIRATE LATITUDES
1301	John Grisham	0739377388	9780739377383	2009-12-19	7	9	7	FORD COUNTY		John Grisham**FORD COUNTY
1302	Jeannette Walls	1416586288	9781416586289	2009-12-19	7	0	11	HALF BROKE HORSES		Jeannette Walls**HALF BROKE HORSES
1303	Dean Koontz	0553807153	9780553807158	2009-12-19	4	12	12	BREATHLESS		Dean Koontz**BREATHLESS
1304	Glenn Beck with Kevin Balfe and Jason Wright	141659485X	9781416594857	2009-12-19	12	8	9	THE CHRISTMAS SWEATER		Glenn Beck with Kevin Balfe and Jason Wright**THE CHRISTMAS SWEATER
1305	Robert Jordan and Brandon Sanderson	0765302306	9780765302304	2009-12-19	0	0	17	THE GATHERING STORM		Robert Jordan and Brandon Sanderson**THE GATHERING STORM
1306	Laurell K Hamilton	0345495969	9780345495969	2009-12-19	0	0	18	DIVINE MISDEMEANORS		Laurell K Hamilton**DIVINE MISDEMEANORS
1307	Richard Castle	1401394760	9781401394769	2009-12-19	0	0	20	HEAT WAVE		Richard Castle**HEAT WAVE
1308	Patricia Cornwell	0399156399	9780399156397	2009-12-19	0	0	19	THE SCARPETTA FACTOR		Patricia Cornwell**THE SCARPETTA FACTOR
1309	Stephen King	1439148503	9781439148501	2009-12-19	6	4	3	UNDER THE DOME, PART 1		Stephen King**UNDER THE DOME, PART 1
1310	Vince Flynn	1416595163	9781416595168	2009-12-19	10	13	15	PURSUIT OF HONOR		Vince Flynn**PURSUIT OF HONOR
1311	Stieg Larsson	0307269981	9780307269980	2009-12-19	11	0	14	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
1312	David Baldacci	0446195510	9780446195515	2009-12-19	8	14	16	TRUE BLUE		David Baldacci**TRUE BLUE
1313	Hilary Mantel	0805080686	9780805080681	2009-12-19	5	0	13	WOLF HALL		Hilary Mantel**WOLF HALL
1314	Nicholas Sparks	044655815X	9780446558150	2009-12-19	15	10	8	THE LAST SONG		Nicholas Sparks**THE LAST SONG
1315	Kathryn Stockett	0399155341	9780399155345	2009-12-19	38	5	4	THE HELP		Kathryn Stockett**THE HELP
1316	Barbara Kingsolver	0060852577	9780060852573	2009-12-19	7	11	10	THE LACUNA		Barbara Kingsolver**THE LACUNA
1317	Dan Brown	0385533136	9780385533133	2009-12-19	14	1	1	THE LOST SYMBOL		Dan Brown**THE LOST SYMBOL
1318	James Patterson	0316071900	9780316071901	2009-12-19	5	3	2	CROSS FIRE		James Patterson**CROSS FIRE
1319	Sue Grafton	039915597X	9780399155970	2009-12-19	3	2	5	U IS FOR UNDERTOW		Sue Grafton**U IS FOR UNDERTOW
1320	Philippa Gregory	1416563725	9781416563723	2010-08-22	3	7	8	THE RED QUEEN		Philippa Gregory**THE RED QUEEN
1321	Martin Cruz Smith	0743276744	9780743276740	2010-08-22	1	0	7	THREE STATIONS		Martin Cruz Smith**THREE STATIONS
1322	James Patterson and Liza Marklund	0316089516	9780316089517	2010-08-22	1	0	1	THE POSTCARD KILLERS		James Patterson and Liza Marklund**THE POSTCARD KILLERS
1323	Carl Hiaasen	0307272583	9780307272584	2010-08-22	4	4	5	STAR ISLAND		Carl Hiaasen**STAR ISLAND
1324	Sandra Brown	1416563105	9781416563105	2010-08-22	2	2	6	TOUGH CUSTOMER		Sandra Brown**TOUGH CUSTOMER
1325	Daniel Silva	0399156585	9780399156588	2010-08-22	5	8	10	THE REMBRANDT AFFAIR		Daniel Silva**THE REMBRANDT AFFAIR
1326	Linda Howard	0345506898	9780345506894	2010-08-22	2	5	14	VEIL OF NIGHT		Linda Howard**VEIL OF NIGHT
1327	Charlaine Harris	0441018645	9780441018642	2010-08-22	0	0	19	DEAD IN THE FAMILY		Charlaine Harris**DEAD IN THE FAMILY
1328	Janet Evanovich	0312383304	9780312383305	2010-08-22	0	0	18	SIZZLING SIXTEEN		Janet Evanovich**SIZZLING SIXTEEN
1329	Dick Francis and Felix Francis	039915681X	9780399156816	2010-08-22	1	0	11	CROSSFIRE		Dick Francis and Felix Francis**CROSSFIRE
1330	Jennifer Weiner	0743294270	9780743294270	2010-08-22	6	10	15	FLY AWAY HOME		Jennifer Weiner**FLY AWAY HOME
1331	Eric Jerome Dickey	0525950583	9780525950585	2010-08-22	0	0	20	TEMPTED BY TROUBLE		Eric Jerome Dickey**TEMPTED BY TROUBLE
1332	Frederick Forsyth	0399156801	9780399156809	2010-08-22	1	0	4	THE COBRA		Frederick Forsyth**THE COBRA
1333	Laura Lippman	0061706558	9780061706554	2010-08-22	1	0	16	I'D KNOW YOU ANYWHERE		Laura Lippman**I'D KNOW YOU ANYWHERE
1334	Stephen White	0525951776	9780525951773	2010-08-22	0	0	17	THE LAST LIE		Stephen White**THE LAST LIE
1335	Stieg Larsson	030726999X	9780307269997	2010-08-22	13	1	2	THE GIRL WHO KICKED THE HORNET’S NEST		Stieg Larsson**THE GIRL WHO KICKED THE HORNET’S NEST
1336	Kathryn Stockett	0399155341	9780399155345	2010-08-22	73	3	3	THE HELP		Kathryn Stockett**THE HELP
1337	James Patterson and Maxine Paetro	0316096156	9780316096157	2010-08-22	8	9	12	PRIVATE: #1 SUSPECT		James Patterson and Maxine Paetro**PRIVATE: #1 SUSPECT
1338	W E B Griffin and William E Butterworth IV	0399156631	9780399156632	2010-08-22	2	6	13	THE VIGILANTES		W E B Griffin and William E Butterworth IV**THE VIGILANTES
1339	Lauren Weisberger	1439136610	9781439136614	2010-08-22	1	0	9	LAST NIGHT AT CHATEAU MARMONT		Lauren Weisberger**LAST NIGHT AT CHATEAU MARMONT
1340	John Grisham	0739377388	9780739377383	2009-11-21	3	3	4	FORD COUNTY		John Grisham**FORD COUNTY
1341	Hilary Mantel	0805080686	9780805080681	2009-11-21	0	0	17	WOLF HALL		Hilary Mantel**WOLF HALL
1342	Stieg Larsson	0307269981	9780307269980	2009-11-21	0	0	20	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
1343	J D Robb	0399155953	9780399155956	2009-11-21	3	9	13	KINDRED IN DEATH		J D Robb**KINDRED IN DEATH
1344	Robert Jordan and Brandon Sanderson	0765302306	9780765302304	2009-11-21	4	6	9	THE GATHERING STORM		Robert Jordan and Brandon Sanderson**THE GATHERING STORM
1345	Vince Flynn	1416595163	9781416595168	2009-11-21	6	10	10	PURSUIT OF HONOR		Vince Flynn**PURSUIT OF HONOR
1346	Glenn Beck with Kevin Balfe and Jason Wright	141659485X	9781416594857	2009-11-21	0	0	18	THE CHRISTMAS SWEATER		Glenn Beck with Kevin Balfe and Jason Wright**THE CHRISTMAS SWEATER
1347	Jeannette Walls	1416586288	9781416586289	2009-11-21	6	16	15	HALF BROKE HORSES		Jeannette Walls**HALF BROKE HORSES
