	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
4045		 Patrick Suskind.	 Patrick Suskind.**PERFUME		9788307019864	1986-11-30	7	12	13	PERFUME
4046		 Tom Clancy.	 Tom Clancy.**RED STORM RISING		9781101000991	1986-11-30	20	3	3	RED STORM RISING
4047		 Louis L'Amour.	 Louis L'Amour.**LAST OF THE BREED		9781850571254	1986-11-30	22	0	12	LAST OF THE BREED
4048		 Karleen Koen.	 Karleen Koen.**THROUGH A GLASS DARKLY		9785551630937	1986-11-30	11	15	11	THROUGH A GLASS DARKLY
4049		 Louise Erdrich.	 Louise Erdrich.**THE BEET QUEEN		9780061847851	1986-11-30	12	13	14	THE BEET QUEEN
4050		 Stephen R. Donaldson.	 Stephen R. Donaldson.**THE MIRROR OF HER DREAMS		9780345347152	1986-11-30	15	4	15	THE MIRROR OF HER DREAMS
4051		 Pat Conroy.	 Pat Conroy.**THE PRINCE OF TIDES		9783404114672	1986-11-30	11	6	5	THE PRINCE OF TIDES
4052		 James Clavell.	 James Clavell.**WHIRLWIND		9788804334057	1986-11-30	6	1	1	WHIRLWIND
4053		 Terry Brooks.	 Terry Brooks.**THE DRUID OF SHANNARA		9781857233803	1991-04-28	9	7	1	THE DRUID OF SHANNARA
4054		 James Redfield.	 James Redfield.**THE CELESTINE PROPHECY		9783453189317	1996-02-04	103	10	9	THE CELESTINE PROPHECY
4055		 Salman Rushdie.	 Salman Rushdie.**THE MOOR'S LAST SIGH		9783426607046	1996-02-04	3	13	11	THE MOOR'S LAST SIGH
4056		 W. E. B. Griffin.	 W. E. B. Griffin.**BEHIND THE LINES		9780399140860	1996-02-04	5	5	7	BEHIND THE LINES
4057		 Nicholas Evans.	 Nicholas Evans.**THE HORSE WHISPERER		9780552146548	1996-02-04	22	2	5	THE HORSE WHISPERER
4058		 Robin Cook.	 Robin Cook.**CONTAGION		9780333662793	1996-02-04	4	4	4	CONTAGION
4059		 Danielle Steel.	 Danielle Steel.**FIVE DAYS IN PARIS		9780739314449	1996-02-04	12	3	6	FIVE DAYS IN PARIS
4060		 Michael Crichton.	 Michael Crichton.**THE LOST WORLD		9780783815893	1996-02-04	20	12	12	THE LOST WORLD
4061		 LaVyrle Spencer.	 LaVyrle Spencer.**THAT CAMDEN SUMMER		9780708989494	1996-02-04	2	15	3	THAT CAMDEN SUMMER
4062		 David Baldacci.	 David Baldacci.**ABSOLUTE POWER		9780684820774	1996-02-04	2	14	10	ABSOLUTE POWER
4063		 Jonathan Kellerman.	 Jonathan Kellerman.**THE WEB		9780553089219	1996-02-04	5	6	8	THE WEB
4064		 Dean Koontz.	 Dean Koontz.**INTENSITY		9780679425250	1996-02-04	5	1	2	INTENSITY
4065		 Steve Martini.	 Steve Martini.**THE JUDGE		9781464047800	1996-02-04	5	9	14	THE JUDGE
4066		 John Updike.	 John Updike.**IN THE BEAUTY OF THE LILIES		9780449224908	1996-02-04	1	0	15	IN THE BEAUTY OF THE LILIES
4067		 Tom Clancy.	 Tom Clancy.**PATRIOT GAMES		9784167275709	1988-03-27	37	9	11	PATRIOT GAMES
4068		 Ethan Canin.	 Ethan Canin.**EMPEROR OF THE AIR		9780747518426	1988-03-27	3	14	13	EMPEROR OF THE AIR
4069		 Cynthia Freeman.	 Cynthia Freeman.**THE LAST PRINCESS		9781480435780	1988-03-27	1	0	12	THE LAST PRINCESS
4070		 Scott Turow.	 Scott Turow.**PRESUMED INNOCENT		9780446676441	1988-03-27	42	7	7	PRESUMED INNOCENT
4071		 Judith Michael.	 Judith Michael.**INHERITANCE		9781514280348	1988-03-27	4	8	5	INHERITANCE
